Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,01_Primary Industry Group,2020,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,01_Primary Industry Group,2021,6,,NZ Dollars (millions),12 and 28,69.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,01_Primary Industry Group,2022,12,,NZ Dollars (millions),12 and 28,114.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,02_Manufacturing Industry Group,2016,20,,NZ Dollars (millions),12 and 28,13.4
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,02_Manufacturing Industry Group,2018,37,,NZ Dollars (millions),12 and 28,23.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,02_Manufacturing Industry Group,2019,40,,NZ Dollars (millions),12 and 28,21.4
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,02_Manufacturing Industry Group,2020,46,,NZ Dollars (millions),12 and 28,15.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,02_Manufacturing Industry Group,2021,41,,NZ Dollars (millions),12 and 28,11.9
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,02_Manufacturing Industry Group,2022,56,,NZ Dollars (millions),12 and 28,14.8
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,03_Services Industry Group,2016,59,,NZ Dollars (millions),12 and 28,24.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,03_Services Industry Group,2018,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,03_Services Industry Group,2019,110,,NZ Dollars (millions),12 and 28,18.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,03_Services Industry Group,2020,142,,NZ Dollars (millions),12 and 28,28.2
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,03_Services Industry Group,2021,129,,NZ Dollars (millions),12 and 28,18.7
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,03_Services Industry Group,2022,111,,NZ Dollars (millions),12 and 28,21.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,04_Government Industry Group,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,04_Government Industry Group,2018,63,,NZ Dollars (millions),3 and 12 and 28,19.7
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,04_Government Industry Group,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,04_Government Industry Group,2020,C,R,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,04_Government Industry Group,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,04_Government Industry Group,2022,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,05_Higher Education Industry Group,2016,67,,NZ Dollars (millions),3 and 12 and 28,0
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,05_Higher Education Industry Group,2018,85,,NZ Dollars (millions),3 and 12 and 28,0
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,05_Higher Education Industry Group,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,05_Higher Education Industry Group,2020,71,R,NZ Dollars (millions),3 and 12 and 28,0
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,05_Higher Education Industry Group,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,05_Higher Education Industry Group,2022,C,P,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,01_Primary,2016,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,01_Primary,2018,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,01_Primary,2019,5,,NZ Dollars (millions),12 and 28,54.2
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,01_Primary,2020,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,01_Primary,2021,6,,NZ Dollars (millions),12 and 28,69.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,01_Primary,2022,12,,NZ Dollars (millions),12 and 28,114.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,02_Food_Manufacturing,2016,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,02_Food_Manufacturing,2018,6,,NZ Dollars (millions),12 and 28,51.7
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,02_Food_Manufacturing,2019,8,,NZ Dollars (millions),12 and 28,54.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,02_Food_Manufacturing,2020,9,,NZ Dollars (millions),12 and 28,17.3
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,02_Food_Manufacturing,2021,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,02_Food_Manufacturing,2022,7,,NZ Dollars (millions),12 and 28,26.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,03_Beverage and tobacco manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,03_Beverage and tobacco manufacturing,2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,03_Beverage and tobacco manufacturing,2019,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,03_Beverage and tobacco manufacturing,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,03_Beverage and tobacco manufacturing,2021,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,03_Beverage and tobacco manufacturing,2022,0,,NZ Dollars (millions),3 and 12 and 28,28.3
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,1,,NZ Dollars (millions),3 and 12 and 28,71.4
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2021,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2022,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,5,,NZ Dollars (millions),12 and 28,34.2
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,12,,NZ Dollars (millions),12 and 28,55.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,9,,NZ Dollars (millions),12 and 28,54.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2020,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2021,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2022,3,,NZ Dollars (millions),12 and 28,30
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,06_Non-metallic mineral product manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,06_Non-metallic mineral product manufacturing,2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,06_Non-metallic mineral product manufacturing,2019,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,06_Non-metallic mineral product manufacturing,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,06_Non-metallic mineral product manufacturing,2021,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,06_Non-metallic mineral product manufacturing,2022,1,,NZ Dollars (millions),3 and 12 and 28,84.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,07_Metal product manufacturing,2016,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,07_Metal product manufacturing,2018,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,07_Metal product manufacturing,2019,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,07_Metal product manufacturing,2020,6,,NZ Dollars (millions),12 and 28,43
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,07_Metal product manufacturing,2021,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,07_Metal product manufacturing,2022,3,,NZ Dollars (millions),12 and 28,53
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,08_Machinery and equipment manufacturing,2016,10,,NZ Dollars (millions),12 and 28,17.9
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,08_Machinery and equipment manufacturing,2018,12,,NZ Dollars (millions),12 and 28,24.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,08_Machinery and equipment manufacturing,2019,13,,NZ Dollars (millions),12 and 28,15.7
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,08_Machinery and equipment manufacturing,2020,22,,NZ Dollars (millions),12 and 28,21.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,08_Machinery and equipment manufacturing,2021,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,08_Machinery and equipment manufacturing,2022,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,09_Other manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,09_Other manufacturing,2018,2,,NZ Dollars (millions),12 and 28,80.6
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,09_Other manufacturing,2019,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,09_Other manufacturing,2020,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,09_Other manufacturing,2021,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,09_Other manufacturing,2022,2,,NZ Dollars (millions),12 and 28,25.8
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,10_Wholesale trade,2016,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,10_Wholesale trade,2018,10,,NZ Dollars (millions),12 and 28,56.4
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,10_Wholesale trade,2019,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,10_Wholesale trade,2020,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,10_Wholesale trade,2021,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,10_Wholesale trade,2022,17,,NZ Dollars (millions),12 and 28,16.1
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,11_Scientific research and technical services,2016,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,11_Scientific research and technical services,2018,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,11_Scientific research and technical services,2019,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,11_Scientific research and technical services,2020,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,11_Scientific research and technical services,2021,9,,NZ Dollars (millions),12 and 28,29.8
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,11_Scientific research and technical services,2022,20,,NZ Dollars (millions),12 and 28,29.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,12_Computer services,2016,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,12_Computer services,2018,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,12_Computer services,2019,65,,NZ Dollars (millions),12 and 28,26.9
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,12_Computer services,2020,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,12_Computer services,2021,C,,NZ Dollars (millions),12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,12_Computer services,2022,37,,NZ Dollars (millions),12 and 28,47.3
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,13_Other services,2016,10,,NZ Dollars (millions),4 and 12 and 28,43
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,13_Other services,2018,22,,NZ Dollars (millions),4 and 12 and 28,50.7
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,13_Other services,2019,29,,NZ Dollars (millions),4 and 12 and 28,33.4
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,13_Other services,2020,34,,NZ Dollars (millions),4 and 12 and 28,36.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,13_Other services,2021,19,,NZ Dollars (millions),4 and 12 and 28,19.9
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,13_Other services,2022,38,,NZ Dollars (millions),4 and 12 and 28,39.5
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,14_Scientific research,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,14_Scientific research,2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,14_Scientific research,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,14_Scientific research,2020,C,R,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,14_Scientific research,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,14_Scientific research,2022,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,15_Other government research,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,15_Other government research,2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,15_Other government research,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,15_Other government research,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,15_Other government research,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,15_Other government research,2022,C,,NZ Dollars (millions),3 and 12 and 28,C
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,16_Higher Education,2016,67,,NZ Dollars (millions),3 and 12 and 28,0
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,16_Higher Education,2018,85,,NZ Dollars (millions),3 and 12 and 28,0
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,16_Higher Education,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,16_Higher Education,2020,71,R,NZ Dollars (millions),3 and 12 and 28,0
